Experiment 01 — PF-STGT Training Log
Started: 2026-06-24T20:19:54.096891+00:00
Device: mps
Seed: 42

epoch,train_loss,val_loss,val_demand_mae,val_stress_mae,lr
1,1140.708274,1147.392558,1143.502319,0.029068,0.00050000
2,812.737610,673.614834,670.461243,0.296624,0.00050000
3,527.919207,465.772542,465.686676,0.296624,0.00050000
4,347.883696,341.691266,342.929504,0.296624,0.00050000
5,229.704706,202.840339,203.286179,0.296624,0.00050000
6,132.991845,119.812174,120.632027,0.296624,0.00050000
7,109.205692,98.793626,99.774521,0.296624,0.00050000
8,88.629036,89.265609,90.354919,0.296624,0.00050000
9,79.092157,71.393840,71.285378,0.296624,0.00050000
10,75.505997,66.461000,66.419930,0.296624,0.00050000
11,74.721863,67.807120,68.003067,0.296624,0.00050000
12,73.733051,64.997005,65.760956,0.296624,0.00050000
13,74.792229,68.177096,67.358376,0.296624,0.00050000
14,73.439704,67.795854,68.197449,0.296624,0.00050000
15,72.739341,65.077067,65.243004,0.296624,0.00050000
16,72.319918,90.669772,91.715744,0.296624,0.00050000
17,73.636343,69.995623,69.187355,0.296624,0.00050000
18,72.243883,85.128972,85.792511,0.296624,0.00050000
19,70.967904,68.075406,68.877304,0.296624,0.00050000
20,69.719269,63.161951,63.671616,0.296624,0.00050000
21,70.717573,66.592455,66.147926,0.296624,0.00050000
22,68.075529,64.377534,64.540298,0.296624,0.00050000
23,66.884428,71.536342,71.978706,0.296624,0.00050000
24,67.143936,66.788687,66.420380,0.296624,0.00050000
25,66.591026,71.154825,71.319695,0.296624,0.00050000
26,68.134749,68.983048,69.062767,0.296624,0.00025000
27,63.496770,60.253660,60.713066,0.296624,0.00025000
28,64.733413,68.376116,68.472626,0.296624,0.00025000
29,63.777355,60.836118,60.991848,0.296624,0.00025000
30,62.641775,58.240719,58.700230,0.296624,0.00025000
31,62.334555,62.100573,62.905743,0.296624,0.00025000
32,63.138732,58.766734,59.436115,0.296624,0.00025000
33,63.711777,59.166757,59.373135,0.296624,0.00025000
34,61.419363,60.055865,60.897415,0.296624,0.00025000
35,61.875516,56.249165,56.670841,0.296624,0.00025000
36,61.836613,65.229687,65.912651,0.296624,0.00025000
37,61.134075,61.731311,61.944344,0.296624,0.00025000
38,61.107090,61.116227,61.553555,0.296624,0.00025000
39,61.601469,59.627525,59.881950,0.296624,0.00025000
40,61.467426,58.376715,58.568928,0.296624,0.00025000
41,61.870306,57.927228,58.015068,0.296624,0.00012500
42,59.930216,57.835585,57.812874,0.296624,0.00012500
43,61.131557,58.605991,58.626450,0.296624,0.00012500
44,59.205764,58.377514,58.329216,0.296624,0.00012500
45,59.164560,59.854854,59.869522,0.296624,0.00012500
46,61.816825,56.979095,57.019417,0.296624,0.00012500
47,59.354557,57.125604,57.317486,0.296624,0.00006250
48,57.731547,58.740534,58.417522,0.296624,0.00006250
49,61.017564,59.559406,59.419460,0.296624,0.00006250
50,58.231151,58.728683,58.862453,0.296624,0.00006250
