feature_name,n_missing,missing_pct,n_present
Date,0,0.0,1850
Rajshahi_supply,0,0.0,1850
Mymensingh_demand,0,0.0,1850
Mymensingh_supply,0,0.0,1850
Mymensingh_load,0,0.0,1850
Sylhet_demand,0,0.0,1850
Sylhet_supply,0,0.0,1850
Sylhet_load,0,0.0,1850
Barishal_demand,0,0.0,1850
Barishal_supply,0,0.0,1850
Barishal_load,0,0.0,1850
Rangpur_demand,0,0.0,1850
Rangpur_supply,0,0.0,1850
Rangpur_load,0,0.0,1850
Cumilla_demand,0,0.0,1850
Cumilla_supply,0,0.0,1850
Cumilla_load,0,0.0,1850
Khulna_demand,0,0.0,1850
Khulna_supply,0,0.0,1850
Khulna_load,0,0.0,1850
Holiday name,0,0.0,1850
Rajshahi_load,0,0.0,1850
Rajshahi_demand,0,0.0,1850
Day of the week,0,0.0,1850
Chattogram_load,0,0.0,1850
Year,0,0.0,1850
Month,0,0.0,1850
Max. Demand at eve. peak (Generation end),0,0.0,1850
Max. Demand at eve. peak (Sub-station end),0,0.0,1850
Highest Generation (Generation end),0,0.0,1850
Minimum Generation (Generation end),0,0.0,1850
Day-peak Generation (Generation end),0,0.0,1850
Evening-peak Generation (Generation end),0,0.0,1850
Minimum Generation Forecast up to 8:00 hrs.,0,0.0,1850
Maximum Temperature in Dhaka was,0,0.0,1850
Gas/LF limitation,0,0.0,1850
Coal supply Limitation,0,0.0,1850
Low water level in Kaptai lake,0,0.0,1850
Plants under shut down/ maintenance,0,0.0,1850
Dhaka_demand,0,0.0,1850
Dhaka_supply,0,0.0,1850
Dhaka_load,0,0.0,1850
Chattogram_demand,0,0.0,1850
Chattogram_supply,0,0.0,1850
Holiday_cat,0,0.0,1850
