,Year,Month,Max. Demand at eve. peak (Generation end),Max. Demand at eve. peak (Sub-station end),Highest Generation (Generation end),Minimum Generation (Generation end),Day-peak Generation (Generation end),Evening-peak Generation (Generation end),Minimum Generation Forecast up to 8:00 hrs.,Maximum Temperature in Dhaka was,Gas/LF limitation,Coal supply Limitation,Low water level in Kaptai lake,Plants under shut down/ maintenance,Dhaka_demand,Dhaka_supply,Dhaka_load,Chattogram_demand,Chattogram_supply,Chattogram_load,Rajshahi_demand,Rajshahi_supply,Rajshahi_load,Mymensingh_demand,Mymensingh_supply,Mymensingh_load,Sylhet_demand,Sylhet_supply,Sylhet_load,Barishal_demand,Barishal_supply,Barishal_load,Rangpur_demand,Rangpur_supply,Rangpur_load,Cumilla_demand,Cumilla_supply,Cumilla_load,Khulna_demand,Khulna_supply,Khulna_load,Holiday_cat
Year,1.0,-0.06894039887382587,0.49902908251860806,0.523494100965704,0.49392762285287944,0.4976441946166716,0.6174020349660179,0.49212963769375734,0.4852644866777702,0.09052131184830657,0.5304918026616466,-0.12976371122363642,-0.1667967794539909,0.46608437531962316,0.5682191419937547,0.5643392805496147,0.19920030752789816,0.41831158754182857,0.4067347718316339,0.129331366738993,0.36979987226182526,0.35325969357413367,0.17576914382038308,0.5521351640792292,0.48206263105036873,0.39380449824789604,0.358322962996226,0.3385287415474856,0.1781877993548117,0.49021280860996536,0.4876026366392278,0.1176014089901494,0.5911026411321605,0.5711176409869939,0.29530031657128286,0.3956837401669261,0.3713621784805286,0.23524533547302817,0.3950819829323818,0.3848734608578044,0.14133676597031652,0.010895752276252354
Month,-0.06894039887382587,1.0,0.059688119563349434,0.0714554841714235,0.05705924638921541,0.09231525499924373,0.029578107076410193,0.06006516234234655,0.08680518936282748,0.043893564478694955,-0.036379930717588854,-0.18323407109133552,-0.5136225246606356,0.27766443003241625,0.1611289046368107,0.159733741949205,0.06501162858328319,0.1221335681848565,0.1264738041239536,0.004404586556636813,-0.10728925801217823,-0.11260426208247121,0.007233990950224235,-0.08806515847111149,-0.11880539920143254,0.013681691810486145,0.18889474569990117,0.1792566699764957,0.10209054458829808,0.05195628291199431,0.054047409717569876,-0.00738439587277403,0.014039975654846088,0.010734364426403388,0.022016453035170802,0.0660625765105978,0.056440218901618495,0.06889256540960909,-0.004186169300939769,-0.0049520702986418945,0.008648236794214817,-0.17858569623387388
Max. Demand at eve. peak (Generation end),0.49902908251860806,0.059688119563349434,1.0,0.9961915668797501,0.9837331155232498,0.9546298546586609,0.9405403738990734,0.9888575568582774,0.9522022331477232,0.6853977746570571,-0.0091212156236283,-0.08096923463012534,-0.21260771803792336,0.02005681620736411,0.9168352228490756,0.9084760885064355,0.3590075734469754,0.8700854654680847,0.8492518761623852,0.2555211768412656,0.9091807569126152,0.8841515526799255,0.34396636360194177,0.9102692317969332,0.8355252190509092,0.5869800541616149,0.8798334646242169,0.8508607671087676,0.3635705749410804,0.8977688217398764,0.8952061538137212,0.18046903984560544,0.7998307421786878,0.7492726250307307,0.5017846730792807,0.923909395264699,0.8876716736346252,0.46941380428743384,0.9383505430492268,0.9180906787858505,0.3103116411067788,0.09455566258023321
Max. Demand at eve. peak (Sub-station end),0.523494100965704,0.0714554841714235,0.9961915668797501,1.0,0.9839295844764855,0.954683575778189,0.9450299993508108,0.9881765113358429,0.9510789683648744,0.6816192101904468,0.020159927598504518,-0.07922112279027504,-0.219737462869826,0.052051501044368786,0.92428380923824,0.9170088982304972,0.3514596964615498,0.878347222502181,0.8592755959121264,0.2470456352818904,0.8982129651334788,0.8742354271080219,0.3355819767400363,0.9108444641593821,0.838940932712862,0.580360448668903,0.8783396777490512,0.8516995754692531,0.35462503857748234,0.8970148234801055,0.8949420718878306,0.1735593397067181,0.8163100186174691,0.7696073552793856,0.4907552755045933,0.9227670833646648,0.888801307754514,0.4593577138212052,0.9344133948150661,0.9156514739926043,0.3009702533054109,0.09601225078870099
Highest Generation (Generation end),0.49392762285287944,0.05705924638921541,0.9837331155232498,0.9839295844764855,1.0,0.95306289722617,0.9465778073035841,0.9947005555010077,0.950224042584377,0.6979092898208521,-0.037367912739263875,-0.04716469551446057,-0.19346240498685988,0.01224573112306865,0.8987490529890904,0.9018522850687885,0.24542029626687967,0.8683759912048302,0.8625479629242413,0.16687447317354087,0.9041761696845122,0.8996320035792668,0.2296116248080405,0.8982154324143959,0.8649698952841135,0.4947476011791557,0.8721202322691113,0.8680909212768757,0.2626201901667166,0.9016526544887459,0.9029700280330359,0.12565743689261805,0.7975724889379071,0.7704777353754823,0.3977028633216697,0.9254052358750539,0.9143784873776971,0.3542349667184435,0.9377545875942529,0.9347511547597921,0.2086458199593851,0.10933436433075244
Minimum Generation (Generation end),0.4976441946166716,0.09231525499924373,0.9546298546586609,0.954683575778189,0.95306289722617,1.0,0.9404186900307533,0.9472613056042118,0.9455649886287367,0.6872111138041113,-0.01905493906627246,-0.0720973864408258,-0.24755352424115798,0.024390364375211884,0.8742260306120507,0.8663277230602475,0.3351590841057702,0.8339236912813971,0.8176093688283163,0.22525881253073188,0.8889350847863436,0.8666722088867559,0.31989295620437264,0.883823267871369,0.8144422090086963,0.5580636667640874,0.8701453742573279,0.8460283610315786,0.3386359129441893,0.8821148118967056,0.880984945644714,0.15069407538119098,0.797194564790262,0.7512153247775414,0.4805147298340505,0.9065998370553586,0.877177306374726,0.43276208084504625,0.9129201481996221,0.8946158356549047,0.2869158332907558,0.062123664605560375
Day-peak Generation (Generation end),0.6174020349660179,0.029578107076410193,0.9405403738990734,0.9450299993508108,0.9465778073035841,0.9404186900307533,1.0,0.9453363227115699,0.9036579823898546,0.6131787880974511,0.09341444294969369,-0.05628822264086643,-0.20998683105140026,0.11006481158530602,0.9190374809180472,0.9213356361973917,0.26327555212768444,0.8397820367141536,0.8302831851742136,0.1872344111139101,0.8358601958849555,0.825339432525106,0.24819673537057543,0.8617547601416434,0.8076058458486228,0.5168628247941506,0.7987435674406133,0.7848499406144928,0.2794559667048106,0.835911252267642,0.8354325766316782,0.14251232543068953,0.7964780619668707,0.7642273011816413,0.42059816035406533,0.8368553939629894,0.8179653993417257,0.36023271791713973,0.858271587328579,0.8502682894419762,0.22263452565981334,0.05672042489901423
Evening-peak Generation (Generation end),0.49212963769375734,0.06006516234234655,0.9888575568582774,0.9881765113358429,0.9947005555010077,0.9472613056042118,0.9453363227115699,1.0,0.945463969364119,0.6897864564557118,-0.03380091740552702,-0.05031199027491945,-0.19730477366133373,0.014019511845677733,0.9075180390954471,0.9108042512873313,0.25540886582045,0.8706997061973445,0.8649529975801342,0.1722986997889985,0.9008628689229035,0.8961617869265474,0.2300084990855782,0.8961868945676624,0.860760928209654,0.500178521007714,0.8687845268632222,0.8638417935685818,0.26917668718225907,0.892768599213982,0.8939383605712092,0.12645066263065813,0.7932335028047436,0.7652103363800697,0.4001660697163501,0.9205325866705909,0.9086569736355602,0.35888099979439614,0.9343686321423827,0.9316642587518034,0.206221479584362,0.10454791954730301
Minimum Generation Forecast up to 8:00 hrs.,0.4852644866777702,0.08680518936282748,0.9522022331477232,0.9510789683648744,0.950224042584377,0.9455649886287367,0.9036579823898546,0.945463969364119,1.0,0.6918538176404745,-0.02309470209635069,-0.0644927383639732,-0.24668677985230203,0.023787377026125815,0.8548049936042608,0.8471357258689832,0.3271835835892395,0.8335291891183648,0.8178049212371998,0.22273863435407637,0.8840847543889215,0.8637189185486488,0.3120812149317046,0.8898958863657305,0.8241058775824921,0.5584197719867059,0.8750418004011834,0.8535526526606777,0.3337427729273987,0.8924403804491292,0.8914489203959025,0.15739710282046915,0.7893622520896398,0.7447914412580704,0.4704588607116923,0.9072931117708997,0.8792026034264865,0.4311431056494846,0.9153837253814906,0.8988231583432146,0.2821491832521557,0.04931039041819849
Maximum Temperature in Dhaka was,0.09052131184830657,0.043893564478694955,0.6853977746570571,0.6816192101904468,0.6979092898208521,0.6872111138041113,0.6131787880974511,0.6897864564557118,0.6918538176404745,1.0,-0.3272488969358589,0.019455400071224958,-0.017992254325718306,-0.11136354308648067,0.5408500847391464,0.5393145727738675,0.1757929720707026,0.6443460576831896,0.632282314456189,0.16118719286782876,0.682602826219644,0.6774387819246643,0.18386246792231864,0.6268912380464157,0.6271310726288989,0.30079894984353994,0.6591731620064278,0.6567683490426793,0.19037473818896294,0.662671033851055,0.6617119684124235,0.12023298409147123,0.5473301095483692,0.530806528251315,0.2634582474345891,0.7598532742616368,0.7515881750755111,0.28784713336690154,0.711312635471791,0.7058078879586864,0.17829334387964474,0.22182613984603614
