feature,count,mean,std,min,25%,50%,75%,max,median,skewness,kurtosis,iqr,n_zeros
Year,1850.0,2021.9237837837838,1.4638705507868712,2019.0,2021.0,2022.0,2023.0,2024.0,2022.0,-0.04387624696376658,-1.1912327016944217,2.0,0
Month,1850.0,6.647027027027027,3.5035722053777634,1.0,4.0,7.0,10.0,12.0,7.0,-0.03653247869604637,-1.2359752361377987,6.0,0
Max. Demand at eve. peak (Generation end),1850.0,11670.265405405406,2083.7092092026483,6958.0,9928.5,11620.5,13265.5,17200.0,11620.5,0.18505469928709536,-0.833473459972311,3337.0,0
Max. Demand at eve. peak (Sub-station end),1850.0,11167.43587027027,2028.4510341611995,6752.0,9530.0,11145.5,12732.75,16417.0,11145.5,0.11509557476195975,-0.8403822027949466,3202.75,0
Highest Generation (Generation end),1850.0,11580.174972972973,1946.6382240613057,6958.0,9917.25,11652.0,13078.5,16477.0,11652.0,0.03678510853694973,-0.9367057647931598,3161.25,0
Minimum Generation (Generation end),1850.0,8363.687491891891,2056.2339648685265,4292.2,6576.0,8319.3,10027.0,13298.0,8319.3,0.19500576777618175,-0.9715602942034098,3451.0,0
Day-peak Generation (Generation end),1850.0,9870.285372972974,1858.0477181355682,5504.8,8460.0,9813.5,11270.5,14488.0,9813.5,0.03822563214145199,-0.6766291253329086,2810.5,0
Evening-peak Generation (Generation end),1850.0,11545.215135135135,1937.5922676787907,6958.0,9893.25,11607.5,13044.75,16477.0,11607.5,0.05590920081071617,-0.9210134943024375,3151.5,0
Minimum Generation Forecast up to 8:00 hrs.,1850.0,8359.954913513513,2093.4452226333974,2679.2,6555.75,8284.5,10034.0,13298.0,8284.5,0.17292235887921897,-0.9204769189262536,3478.25,0
Maximum Temperature in Dhaka was,1850.0,31.533513513513512,4.046407520858207,15.4,29.2,32.5,34.4,40.6,32.5,-0.8626100668825956,0.6778381262848301,5.199999999999999,0
Gas/LF limitation,1850.0,2408.512972972973,1114.5868045284337,267.0,1427.25,2264.5,3166.25,5854.0,2264.5,0.5067127599115827,-0.5868943102083537,1739.0,0
Coal supply Limitation,1850.0,110.12324324324324,93.6466954557903,0.0,0.0,109.0,170.0,444.0,109.0,0.26600996866173526,-0.9430637218235223,170.0,500
Low water level in Kaptai lake,1850.0,114.76432432432432,82.55337439705552,0.0,0.0,153.0,190.0,230.0,153.0,-0.4451013674790379,-1.4997016697169028,190.0,547
Plants under shut down/ maintenance,1850.0,2189.5494594594593,869.7640435589801,105.0,1702.5,2066.0,2583.0,6580.0,2066.0,1.1804882606702312,3.4825690711003543,880.5,0
