feature_name,feature_category,priority,implementation_difficulty,implementation_order,phase_05B_batch,generic_or_novel,status
operational_stress_index,Operational,High,High,1,Batch 1 — Core,Novel,Proposed
day_of_year_sin,Temporal,High,Low,2,Batch 1 — Core,Generic,Proposed
day_of_year_cos,Temporal,High,Low,3,Batch 1 — Core,Generic,Proposed
trend_index,Temporal,High,Low,4,Batch 1 — Core,Generic,Proposed
gap_days_since_previous_observation,Temporal,High,Low,5,Batch 1 — Core,Novel,Proposed
regional_demand_share_Dhaka,Regional,High,Low,6,Batch 1 — Core,Generic,Proposed
regional_demand_share_Chattogram,Regional,High,Low,7,Batch 1 — Core,Generic,Proposed
regional_demand_share_Rajshahi,Regional,High,Low,8,Batch 1 — Core,Generic,Proposed
regional_demand_share_Mymensingh,Regional,High,Low,9,Batch 1 — Core,Generic,Proposed
regional_demand_share_Sylhet,Regional,High,Low,10,Batch 1 — Core,Generic,Proposed
regional_demand_share_Barishal,Regional,High,Low,11,Batch 1 — Core,Generic,Proposed
regional_demand_share_Rangpur,Regional,High,Low,12,Batch 1 — Core,Generic,Proposed
regional_demand_share_Cumilla,Regional,High,Low,13,Batch 1 — Core,Generic,Proposed
regional_demand_share_Khulna,Regional,High,Low,14,Batch 1 — Core,Generic,Proposed
regional_load_intensity_Dhaka,Regional,High,Low,15,Batch 1 — Core,Generic,Proposed
regional_load_intensity_Chattogram,Regional,High,Low,16,Batch 1 — Core,Generic,Proposed
regional_load_intensity_Rajshahi,Regional,High,Low,17,Batch 1 — Core,Generic,Proposed
regional_load_intensity_Mymensingh,Regional,High,Low,18,Batch 1 — Core,Generic,Proposed
regional_load_intensity_Sylhet,Regional,High,Low,19,Batch 1 — Core,Generic,Proposed
regional_load_intensity_Barishal,Regional,High,Low,20,Batch 1 — Core,Generic,Proposed
regional_load_intensity_Rangpur,Regional,High,Low,21,Batch 1 — Core,Generic,Proposed
regional_load_intensity_Cumilla,Regional,High,Low,22,Batch 1 — Core,Generic,Proposed
regional_load_intensity_Khulna,Regional,High,Low,23,Batch 1 — Core,Generic,Proposed
total_regional_demand,Grid,High,Low,24,Batch 1 — Core,Generic,Proposed
total_regional_load,Grid,High,Low,25,Batch 1 — Core,Generic,Proposed
generation_reserve,Grid,High,Low,26,Batch 1 — Core,Generic,Proposed
total_operational_limitation,Operational,High,Low,27,Batch 1 — Core,Generic,Proposed
any_regional_shedding,Operational,High,Low,28,Batch 1 — Core,Generic,Proposed
demand_lag_1_Dhaka,Temporal,High,Medium,29,Batch 1 — Core,Generic,Proposed
demand_lag_1_Chattogram,Temporal,High,Medium,30,Batch 1 — Core,Generic,Proposed
demand_lag_1_Rajshahi,Temporal,High,Medium,31,Batch 1 — Core,Generic,Proposed
demand_lag_1_Mymensingh,Temporal,High,Medium,32,Batch 1 — Core,Generic,Proposed
demand_lag_1_Sylhet,Temporal,High,Medium,33,Batch 1 — Core,Generic,Proposed
demand_lag_1_Barishal,Temporal,High,Medium,34,Batch 1 — Core,Generic,Proposed
demand_lag_1_Rangpur,Temporal,High,Medium,35,Batch 1 — Core,Generic,Proposed
demand_lag_1_Cumilla,Temporal,High,Medium,36,Batch 1 — Core,Generic,Proposed
demand_lag_1_Khulna,Temporal,High,Medium,37,Batch 1 — Core,Generic,Proposed
demand_lag_7_Dhaka,Temporal,High,Medium,38,Batch 1 — Core,Novel,Proposed
demand_lag_7_Chattogram,Temporal,High,Medium,39,Batch 1 — Core,Novel,Proposed
demand_lag_7_Rajshahi,Temporal,High,Medium,40,Batch 1 — Core,Novel,Proposed
demand_lag_7_Mymensingh,Temporal,High,Medium,41,Batch 1 — Core,Novel,Proposed
demand_lag_7_Sylhet,Temporal,High,Medium,42,Batch 1 — Core,Novel,Proposed
demand_lag_7_Barishal,Temporal,High,Medium,43,Batch 1 — Core,Novel,Proposed
demand_lag_7_Rangpur,Temporal,High,Medium,44,Batch 1 — Core,Novel,Proposed
demand_lag_7_Cumilla,Temporal,High,Medium,45,Batch 1 — Core,Novel,Proposed
demand_lag_7_Khulna,Temporal,High,Medium,46,Batch 1 — Core,Novel,Proposed
load_lag_1_Dhaka,Temporal,High,Medium,47,Batch 1 — Core,Generic,Proposed
load_lag_1_Chattogram,Temporal,High,Medium,48,Batch 1 — Core,Generic,Proposed
load_lag_1_Rajshahi,Temporal,High,Medium,49,Batch 1 — Core,Generic,Proposed
load_lag_1_Mymensingh,Temporal,High,Medium,50,Batch 1 — Core,Generic,Proposed
load_lag_1_Sylhet,Temporal,High,Medium,51,Batch 1 — Core,Generic,Proposed
load_lag_1_Barishal,Temporal,High,Medium,52,Batch 1 — Core,Generic,Proposed
load_lag_1_Rangpur,Temporal,High,Medium,53,Batch 1 — Core,Generic,Proposed
load_lag_1_Cumilla,Temporal,High,Medium,54,Batch 1 — Core,Generic,Proposed
