split,feature,count,n_missing,missing_pct,mean,std,min,max
train,day_of_year_sin,1295,0,0.0,-0.0,1.000386,-1.534973,1.326283
train,day_of_year_cos,1295,0,0.0,0.0,1.000386,-1.464828,1.35102
train,trend_index,1295,0,0.0,0.0,1.000386,-1.735104,1.740137
train,gap_days_since_previous_observation,1295,0,0.0,-0.0,1.000397,-10.927681,21.679108
train,total_regional_demand,1295,0,0.0,-0.0,1.000386,-2.107813,2.650148
train,total_regional_load,1295,0,0.0,0.0,1.000386,-0.310048,13.418854
train,generation_reserve,1295,0,0.0,0.0,1.000387,-7.085678,8.372658
train,temperature_anomaly_month,1295,0,0.0,0.0,1.000386,-4.564738,3.469963
train,total_operational_limitation,1295,0,0.0,0.0,1.000386,-2.224984,2.293638
train,operational_stress_index,1295,0,0.0,0.0,1.000386,-2.678194,5.038421
train,any_regional_shedding,1295,0,0.0,0.181467,0.385554,0.0,1.0
train,demand_lag_1_Dhaka,1295,1,0.0772,0.0,1.000386,-2.404509,2.757971
train,demand_lag_1_Chattogram,1295,1,0.0772,0.0,1.000387,-2.925734,2.978838
train,demand_lag_1_Rajshahi,1295,1,0.0772,0.0,1.000387,-2.012899,3.286641
train,demand_lag_1_Mymensingh,1295,1,0.0772,0.0,1.000387,-2.110286,2.588729
train,demand_lag_1_Sylhet,1295,1,0.0772,0.0,1.000387,-1.889326,2.440241
train,demand_lag_1_Barishal,1295,1,0.0772,0.0,1.000386,-1.814077,3.295384
train,demand_lag_1_Rangpur,1295,1,0.0772,0.0,1.000387,-2.834968,2.206666
train,demand_lag_1_Cumilla,1295,1,0.0772,0.0,1.000387,-1.900946,2.607354
train,demand_lag_1_Khulna,1295,1,0.0772,0.0,1.000386,-1.988253,2.883032
train,demand_lag_7_Dhaka,1295,7,0.5405,0.0,1.000388,-2.407742,2.77761
train,demand_lag_7_Chattogram,1295,7,0.5405,0.0,1.000389,-2.921751,2.983716
train,demand_lag_7_Rajshahi,1295,7,0.5405,-0.0,1.000389,-2.012006,3.302904
train,demand_lag_7_Mymensingh,1295,7,0.5405,0.0,1.000389,-2.107578,2.597695
train,demand_lag_7_Sylhet,1295,7,0.5405,-0.0,1.000389,-1.885998,2.44733
train,demand_lag_7_Barishal,1295,7,0.5405,0.0,1.000389,-1.813753,3.311888
train,demand_lag_7_Rangpur,1295,7,0.5405,-0.0,1.000388,-2.833969,2.216705
train,demand_lag_7_Cumilla,1295,7,0.5405,0.0,1.000388,-1.897883,2.615124
train,demand_lag_7_Khulna,1295,7,0.5405,0.0,1.000389,-1.988331,2.900154
train,load_lag_1_Dhaka,1295,1,0.0772,-0.0,1.000388,-0.22391,20.503553
train,load_lag_1_Chattogram,1295,1,0.0772,0.0,1.000386,-0.158799,16.601917
train,load_lag_1_Rajshahi,1295,1,0.0772,-0.0,1.000386,-0.25996,8.674265
train,load_lag_1_Mymensingh,1295,1,0.0772,0.0,1.000386,-0.378083,10.121294
train,load_lag_1_Sylhet,1295,1,0.0772,0.0,1.000383,-0.2324,14.964543
train,load_lag_1_Barishal,1295,1,0.0772,-0.0,1.000387,-0.089903,18.510021
train,load_lag_1_Rangpur,1295,1,0.0772,0.0,1.000389,-0.268089,8.364915
train,load_lag_1_Cumilla,1295,1,0.0772,0.0,1.000386,-0.273562,9.012506
train,load_lag_1_Khulna,1295,1,0.0772,0.0,1.000389,-0.240235,8.357872
train,demand_rolling_mean_7_Dhaka,1295,7,0.5405,0.0,1.000389,-2.28857,2.499378
train,demand_rolling_mean_7_Chattogram,1295,7,0.5405,0.0,1.000388,-2.567755,2.108209
train,demand_rolling_mean_7_Rajshahi,1295,7,0.5405,0.0,1.000389,-1.726792,2.926289
train,demand_rolling_mean_7_Mymensingh,1295,7,0.5405,0.0,1.000389,-1.977666,2.538464
train,demand_rolling_mean_7_Sylhet,1295,7,0.5405,0.0,1.000389,-1.464668,2.198664
train,demand_rolling_mean_7_Barishal,1295,7,0.5405,0.0,1.000389,-1.645328,2.937512
train,demand_rolling_mean_7_Rangpur,1295,7,0.5405,-0.0,1.000388,-2.814875,1.909804
train,demand_rolling_mean_7_Cumilla,1295,7,0.5405,0.0,1.000388,-1.611917,2.504338
train,demand_rolling_mean_7_Khulna,1295,7,0.5405,0.0,1.000388,-1.638794,2.482767
train,regional_demand_share_Dhaka,1295,0,0.0,-0.0,1.000387,-4.258921,2.071113
train,regional_demand_share_Chattogram,1295,0,0.0,-0.0,1.000386,-4.308935,4.500069
train,regional_demand_share_Rajshahi,1295,0,0.0,0.0,1.000386,-2.508068,3.345621
train,regional_demand_share_Mymensingh,1295,0,0.0,0.0,1.000386,-4.693036,2.972968
train,regional_demand_share_Sylhet,1295,0,0.0,-0.0,1.000387,-3.540713,3.302037
train,regional_demand_share_Barishal,1295,0,0.0,0.0,1.000386,-3.054009,4.098004
train,regional_demand_share_Rangpur,1295,0,0.0,0.0,1.000387,-3.092032,1.924008
train,regional_demand_share_Cumilla,1295,0,0.0,0.0,1.000387,-3.282646,4.533483
train,regional_demand_share_Khulna,1295,0,0.0,0.0,1.000386,-5.557078,4.432865
train,regional_load_intensity_Dhaka,1295,0,0.0,0.0,1.000387,-0.223353,21.201845
train,regional_load_intensity_Chattogram,1295,0,0.0,0.0,1.000387,-0.160481,17.010418
train,regional_load_intensity_Rajshahi,1295,0,0.0,-0.0,1.000385,-0.262781,8.0412
train,regional_load_intensity_Mymensingh,1295,0,0.0,0.0,1.000387,-0.385168,9.992116
train,regional_load_intensity_Sylhet,1295,0,0.0,-0.0,1.000385,-0.237826,14.7974
train,regional_load_intensity_Barishal,1295,0,0.0,-0.0,1.000386,-0.089764,19.231318
train,regional_load_intensity_Rangpur,1295,0,0.0,0.0,1.000386,-0.270983,7.961394
train,regional_load_intensity_Cumilla,1295,0,0.0,-0.0,1.000386,-0.274786,9.992801
train,regional_load_intensity_Khulna,1295,0,0.0,0.0,1.000385,-0.244341,7.672886
validation,day_of_year_sin,277,0,0.0,-0.453395,0.900011,-1.534973,1.294333
validation,day_of_year_cos,277,0,0.0,0.155373,1.020442,-1.464828,1.35102
validation,trend_index,277,0,0.0,2.113636,0.214115,1.742807,2.482163
validation,gap_days_since_previous_observation,277,0,0.0,-0.019513,0.653052,-0.058751,10.810179
validation,total_regional_demand,277,0,0.0,0.606756,0.984557,-1.383943,2.323416
validation,total_regional_load,277,0,0.0,0.02186,0.562019,-0.310048,3.126082
