feature,split,dtype,n_missing,missing_pct,missing_status,n_infinite,n_unique,is_constant,is_near_zero_variance,mean,std,min,max,distribution_shift_z,distribution_shift_flag
day_of_year_sin,train,float32,0,0.0,ok,0,366,False,False,-0.0,1.000386,-1.534973,1.326283,,
day_of_year_sin,validation,float32,0,0.0,ok,0,277,False,False,-0.453395,0.900011,-1.534973,1.294333,0.4532,False
day_of_year_sin,test,float32,0,0.0,ok,0,278,False,False,-0.335092,1.018891,-1.534973,1.326283,0.335,False
day_of_year_cos,train,float32,0,0.0,ok,0,366,False,False,0.0,1.000386,-1.464828,1.35102,,
day_of_year_cos,validation,float32,0,0.0,ok,0,277,False,False,0.155373,1.020442,-1.464828,1.35102,0.1553,False
day_of_year_cos,test,float32,0,0.0,ok,0,278,False,False,-0.305817,0.932772,-1.464775,1.35102,0.3057,False
trend_index,train,float32,0,0.0,ok,0,1295,False,False,0.0,1.000386,-1.735104,1.740137,,
trend_index,validation,float32,0,0.0,ok,0,277,False,False,2.113636,0.214115,1.742807,2.482163,2.1128,False
trend_index,test,float32,0,0.0,ok,0,278,False,False,2.867367,0.223417,2.484832,3.245542,2.8663,False
gap_days_since_previous_observation,train,float32,0,0.0,ok,0,4,False,False,-0.0,1.000397,-10.927681,21.679108,,
gap_days_since_previous_observation,validation,float32,0,0.0,ok,0,2,False,False,-0.019513,0.653052,-0.058751,10.810179,0.0195,False
gap_days_since_previous_observation,test,float32,0,0.0,ok,0,3,False,False,0.254024,4.01345,-0.058751,65.154823,0.2539,False
total_regional_demand,train,float32,0,0.0,ok,0,1159,False,False,-0.0,1.000386,-2.107813,2.650148,,
total_regional_demand,validation,float32,0,0.0,ok,0,266,False,False,0.606756,0.984557,-1.383943,2.323416,0.6065,False
total_regional_demand,test,float32,0,0.0,ok,0,272,False,False,1.313172,0.984122,-0.998906,3.155097,1.3127,False
total_regional_load,train,float32,0,0.0,ok,0,206,False,False,0.0,1.000386,-0.310048,13.418854,,
total_regional_load,validation,float32,0,0.0,ok,0,115,False,False,0.02186,0.562019,-0.310048,3.126082,0.0219,False
total_regional_load,test,float32,0,0.0,ok,0,160,False,False,0.554446,1.199171,-0.310048,5.85312,0.5542,False
generation_reserve,train,float32,0,0.0,ok,0,375,False,False,0.0,1.000387,-7.085678,8.372658,,
generation_reserve,validation,float32,0,0.0,ok,0,143,False,False,-0.068157,0.69574,-5.786658,2.770635,0.0681,False
generation_reserve,test,float32,0,0.0,ok,0,218,False,False,-0.333968,1.456177,-6.314385,3.393082,0.3338,False
temperature_anomaly_month,train,float32,0,0.0,ok,0,677,False,False,0.0,1.000386,-4.564738,3.469963,,
temperature_anomaly_month,validation,float32,0,0.0,ok,0,198,False,False,-0.096705,0.983477,-3.40045,2.376705,0.0967,False
temperature_anomaly_month,test,float32,0,0.0,ok,0,217,False,False,0.120321,1.06806,-3.091056,2.301212,0.1203,False
total_operational_limitation,train,float32,0,0.0,ok,0,1117,False,False,0.0,1.000386,-2.224984,2.293638,,
total_operational_limitation,validation,float32,0,0.0,ok,0,261,False,False,0.352176,0.818932,-1.20798,2.769356,0.352,False
total_operational_limitation,test,float32,0,0.0,ok,0,266,False,False,1.255927,1.431366,-1.489784,4.006781,1.2554,False
operational_stress_index,train,float32,0,0.0,ok,0,1288,False,False,0.0,1.000386,-2.678194,5.038421,,
operational_stress_index,validation,float32,0,0.0,ok,0,273,False,False,0.094569,0.772656,-1.219668,3.232926,0.0945,False
operational_stress_index,test,float32,0,0.0,ok,0,276,False,False,0.595925,1.124272,-1.542155,3.473071,0.5957,False
any_regional_shedding,train,float32,0,0.0,ok,0,2,False,False,0.181467,0.385554,0.0,1.0,,
any_regional_shedding,validation,float32,0,0.0,ok,0,2,False,False,0.523466,0.500353,0.0,1.0,0.887,False
any_regional_shedding,test,float32,0,0.0,ok,0,2,False,False,0.633094,0.48283,0.0,1.0,1.1714,False
demand_lag_1_Dhaka,train,float32,1,0.0772,expected_warmup,0,1014,False,False,0.0,1.000386,-2.404509,2.757971,,
demand_lag_1_Dhaka,validation,float32,0,0.0,ok,0,246,False,False,0.735655,0.865586,-1.661146,2.39974,0.7354,False
demand_lag_1_Dhaka,test,float32,0,0.0,ok,0,252,False,False,1.318892,0.942166,-1.38504,3.068059,1.3184,False
demand_lag_1_Chattogram,train,float32,1,0.0772,expected_warmup,0,565,False,False,0.0,1.000387,-2.925734,2.978838,,
